probe_id,gene_name,description
ENSCAFG00000019831,SYPL2,protein_coding
ENSCAFG00000045677,ENSCAFG00000045677,lncRNA
ENSCAFG00000046095,ENSCAFG00000046095,lncRNA
ENSCAFG00000036914,ENSCAFG00000036914,lncRNA
ENSCAFG00000043061,ENSCAFG00000043061,lncRNA
ENSCAFG00000041694,ENSCAFG00000041694,lncRNA
ENSCAFG00000034745,ENSCAFG00000034745,lncRNA
ENSCAFG00000021445,U6,snRNA
ENSCAFG00000021223,U6,snRNA
ENSCAFG00000020233,LMO4,protein_coding
ENSCAFG00000020401,LHX8,protein_coding
ENSCAFG00000019833,PSMA5,protein_coding
ENSCAFG00000027082,U6,snRNA
ENSCAFG00000014162,EPHB4,protein_coding
ENSCAFG00000036060,ENSCAFG00000036060,lncRNA
ENSCAFG00000015760,C6H7orf26,protein_coding
ENSCAFG00000019835,SORT1,protein_coding
ENSCAFG00000049345,ENSCAFG00000049345,lncRNA
ENSCAFG00000032209,TYW3,protein_coding
ENSCAFG00000033600,ENSCAFG00000033600,lncRNA
ENSCAFG00000047514,ENSCAFG00000047514,lncRNA
ENSCAFG00000032470,ENSCAFG00000032470,protein_coding
ENSCAFG00000020404,CRYZ,protein_coding
ENSCAFG00000013987,ENSCAFG00000013987,pseudogene
ENSCAFG00000019837,MYBPHL,protein_coding
ENSCAFG00000049941,SELENOF,protein_coding
ENSCAFG00000020239,SH3GLB1,protein_coding
ENSCAFG00000019839,PSRC1,protein_coding
ENSCAFG00000020406,ERICH3,protein_coding
ENSCAFG00000030142,CCDC154,protein_coding
ENSCAFG00000015816,ZNF316,protein_coding
ENSCAFG00000049808,ENSCAFG00000049808,pseudogene
ENSCAFG00000020408,TNNI3K,protein_coding
ENSCAFG00000020241,ENSCAFG00000020241,protein_coding
ENSCAFG00000023499,ENSCAFG00000023499,protein_coding
ENSCAFG00000019841,CELSR2,protein_coding
ENSCAFG00000019585,TSR3,protein_coding
ENSCAFG00000015948,ZNF12,protein_coding
ENSCAFG00000029980,C6H16orf91,protein_coding
ENSCAFG00000030253,ENSCAFG00000030253,protein_coding
ENSCAFG00000019581,UNKL,protein_coding
ENSCAFG00000019583,GNPTG,protein_coding
ENSCAFG00000021627,U6,snRNA
ENSCAFG00000028720,FPGT,protein_coding
ENSCAFG00000019589,BAIAP3,protein_coding
ENSCAFG00000031449,UBE2I,protein_coding
ENSCAFG00000020410,LRRIQ3,protein_coding
ENSCAFG00000048069,ENSCAFG00000048069,protein_coding
ENSCAFG00000019593,ENSCAFG00000019593,protein_coding
ENSCAFG00000031939,ENSCAFG00000031939,protein_coding
ENSCAFG00000014203,EPO,protein_coding
ENSCAFG00000029211,RBAK,protein_coding
ENSCAFG00000050079,ENSCAFG00000050079,lncRNA
ENSCAFG00000019596,CACNA1H,protein_coding
ENSCAFG00000014205,POP7,protein_coding
ENSCAFG00000042887,ENSCAFG00000042887,lncRNA
ENSCAFG00000015990,RNF216,protein_coding
ENSCAFG00000043005,ENSCAFG00000043005,protein_coding
ENSCAFG00000046860,ENSCAFG00000046860,lncRNA
ENSCAFG00000014223,GIGYF1,protein_coding
ENSCAFG00000043595,ENSCAFG00000043595,lncRNA
ENSCAFG00000046732,ENSCAFG00000046732,lncRNA
ENSCAFG00000037111,ENSCAFG00000037111,lncRNA
ENSCAFG00000032836,ENSCAFG00000032836,lncRNA
ENSCAFG00000020411,NEGR1,protein_coding
ENSCAFG00000019597,ENSCAFG00000019597,protein_coding
ENSCAFG00000043699,U4,snRNA
ENSCAFG00000011150,GALNT17,protein_coding
ENSCAFG00000016010,FSCN1,protein_coding
ENSCAFG00000019601,SOX8,protein_coding
ENSCAFG00000016020,ACTB,protein_coding
ENSCAFG00000030708,ENSCAFG00000030708,protein_coding
ENSCAFG00000041224,ENSCAFG00000041224,lncRNA
ENSCAFG00000042343,ENSCAFG00000042343,lncRNA
ENSCAFG00000011229,AUTS2,protein_coding
ENSCAFG00000016024,FBXL18,protein_coding
ENSCAFG00000014282,GNB2,protein_coding
ENSCAFG00000027636,ENSCAFG00000027636,miRNA
ENSCAFG00000045939,ENSCAFG00000045939,lncRNA
ENSCAFG00000016034,TNRC18,protein_coding
ENSCAFG00000046862,ENSCAFG00000046862,lncRNA
ENSCAFG00000014302,ACTL6B,protein_coding
ENSCAFG00000041176,ENSCAFG00000041176,protein_coding
ENSCAFG00000014311,TFR2,protein_coding
ENSCAFG00000020412,ZRANB2,protein_coding
ENSCAFG00000047505,ENSCAFG00000047505,lncRNA
ENSCAFG00000046199,ENSCAFG00000046199,lncRNA
ENSCAFG00000019603,LMF1,protein_coding
ENSCAFG00000018025,GPR139,protein_coding
ENSCAFG00000017254,ATP2A1,protein_coding
ENSCAFG00000042287,ENSCAFG00000042287,lncRNA
ENSCAFG00000011179,FAM20C,protein_coding
ENSCAFG00000041140,ENSCAFG00000041140,protein_coding
ENSCAFG00000019120,C6H16orf89,protein_coding
ENSCAFG00000014199,MOSPD3,protein_coding
ENSCAFG00000048389,ENSCAFG00000048389,miRNA
ENSCAFG00000046321,CANFAMV1R559,protein_coding
ENSCAFG00000019122,NAGPA,protein_coding
ENSCAFG00000019614,RPUSD1,protein_coding
ENSCAFG00000016939,AHSP,protein_coding
ENSCAFG00000020484,ENSCAFG00000020484,miRNA
ENSCAFG00000046291,ENSCAFG00000046291,lncRNA
ENSCAFG00000044009,ENSCAFG00000044009,lncRNA
ENSCAFG00000018027,GPRC5B,protein_coding
ENSCAFG00000016936,RUSF1,protein_coding
ENSCAFG00000021893,U6,snRNA
ENSCAFG00000046513,ENSCAFG00000046513,lncRNA
ENSCAFG00000042092,ENSCAFG00000042092,lncRNA
ENSCAFG00000047427,ENSCAFG00000047427,lncRNA
ENSCAFG00000048758,ENSCAFG00000048758,lncRNA
ENSCAFG00000020417,CTH,protein_coding
ENSCAFG00000019608,GNG13,protein_coding
ENSCAFG00000019128,SEC14L5,protein_coding
ENSCAFG00000018031,IQCK,protein_coding
ENSCAFG00000019611,CHTF18,protein_coding
ENSCAFG00000018032,KNOP1,protein_coding
ENSCAFG00000014322,PCOLCE,protein_coding
ENSCAFG00000019134,PPL,protein_coding
ENSCAFG00000019616,MSLNL,protein_coding
ENSCAFG00000014265,FBXO24,protein_coding
ENSCAFG00000019951,VAV3,protein_coding
ENSCAFG00000018069,CCP110,protein_coding
ENSCAFG00000020422,ANKRD13C,protein_coding
ENSCAFG00000019847,SARS1,protein_coding
ENSCAFG00000017300,RABEP2,protein_coding
ENSCAFG00000019851,ELAPOR1,protein_coding
ENSCAFG00000023230,ENSCAFG00000023230,protein_coding
ENSCAFG00000016909,SLC5A2,protein_coding
ENSCAFG00000019618,CIAO3,protein_coding
ENSCAFG00000019853,C6H1orf194,protein_coding
ENSCAFG00000016896,TGFB1I1,protein_coding
ENSCAFG00000020423,SRSF11,protein_coding
ENSCAFG00000017313,SPNS1,protein_coding
ENSCAFG00000028195,ENSCAFG00000028195,scaRNA
ENSCAFG00000030181,TMEM167B,protein_coding
ENSCAFG00000016892,ARMC5,protein_coding
ENSCAFG00000019867,WDR47,protein_coding
ENSCAFG00000016887,COX6A2,protein_coding
ENSCAFG00000016881,ITGAM,protein_coding
ENSCAFG00000014374,NYAP1,protein_coding
ENSCAFG00000027524,U6,snRNA
ENSCAFG00000019606,HAGHL,protein_coding
ENSCAFG00000020424,LRRC40,protein_coding
ENSCAFG00000037899,ENSCAFG00000037899,lncRNA
ENSCAFG00000010094,ZNF713,protein_coding
ENSCAFG00000029530,LRRC7,protein_coding
ENSCAFG00000019871,CLCC1,protein_coding
ENSCAFG00000026306,ENSCAFG00000026306,snoRNA
ENSCAFG00000046150,U2,snRNA
ENSCAFG00000019621,CCDC78,protein_coding
ENSCAFG00000010098,ENSCAFG00000010098,protein_coding
ENSCAFG00000018078,GDE1,protein_coding
ENSCAFG00000010111,NIPSNAP2,protein_coding
ENSCAFG00000045318,ENSCAFG00000045318,protein_coding
ENSCAFG00000014343,SAP25,protein_coding
ENSCAFG00000019623,FBXL16,protein_coding
ENSCAFG00000019626,WDR24,protein_coding
ENSCAFG00000019880,GPSM2,protein_coding
ENSCAFG00000027661,U2,snRNA
ENSCAFG00000049576,ENSCAFG00000049576,lncRNA
ENSCAFG00000044833,ENSCAFG00000044833,lncRNA
ENSCAFG00000026222,U6,snRNA
ENSCAFG00000036922,ENSCAFG00000036922,lncRNA
ENSCAFG00000010123,PSPH,protein_coding
ENSCAFG00000046136,ENSCAFG00000046136,lncRNA
ENSCAFG00000019891,AKNAD1,protein_coding
ENSCAFG00000016052,SLC29A4,protein_coding
ENSCAFG00000014351,AGFG2,protein_coding
ENSCAFG00000019628,JMJD8,protein_coding
ENSCAFG00000018092,TMC5,protein_coding
ENSCAFG00000010149,CCT6A,protein_coding
ENSCAFG00000019913,STXBP3,protein_coding
ENSCAFG00000016067,WIPI2,protein_coding
ENSCAFG00000047100,ENSCAFG00000047100,lncRNA
ENSCAFG00000014443,TSC22D4,protein_coding
ENSCAFG00000026163,ENSCAFG00000026163,snoRNA
ENSCAFG00000020849,ENSCAFG00000020849,snoRNA
ENSCAFG00000010156,SUMF2,protein_coding
ENSCAFG00000014449,PPP1R35,protein_coding
ENSCAFG00000043985,U4,snRNA
ENSCAFG00000044666,U4,snRNA
ENSCAFG00000021754,U6,snRNA
ENSCAFG00000034624,ENSCAFG00000034624,lncRNA
ENSCAFG00000043461,ENSCAFG00000043461,lncRNA
ENSCAFG00000014312,ENSCAFG00000014312,pseudogene
ENSCAFG00000039909,ENSCAFG00000039909,lncRNA
ENSCAFG00000014458,MEPCE,protein_coding
ENSCAFG00000049095,ENSCAFG00000049095,lncRNA
ENSCAFG00000043102,ENSCAFG00000043102,lncRNA
ENSCAFG00000046567,ENSCAFG00000046567,lncRNA
ENSCAFG00000040532,ENSCAFG00000040532,lncRNA
ENSCAFG00000043300,ENSCAFG00000043300,lncRNA
ENSCAFG00000011354,CASTOR2,protein_coding
ENSCAFG00000031099,STUB1,protein_coding
ENSCAFG00000019958,NTNG1,protein_coding
ENSCAFG00000019630,RHBDL1,protein_coding
ENSCAFG00000011334,RCC1L,protein_coding
ENSCAFG00000014468,ZCWPW1,protein_coding
ENSCAFG00000010171,PHKG1,protein_coding
ENSCAFG00000019654,WDR90,protein_coding
ENSCAFG00000044261,ENSCAFG00000044261,protein_coding
ENSCAFG00000020921,U6,snRNA
ENSCAFG00000042528,ENSCAFG00000042528,protein_coding
ENSCAFG00000046823,ENSCAFG00000046823,protein_coding
ENSCAFG00000010178,CHCHD2,protein_coding
ENSCAFG00000020238,ENSCAFG00000020238,pseudogene
ENSCAFG00000010181,NUPR2,protein_coding
ENSCAFG00000047024,U4,snRNA
ENSCAFG00000019929,FNDC7,protein_coding
ENSCAFG00000011367,ENSCAFG00000011367,protein_coding
ENSCAFG00000016872,TRIM72,protein_coding
ENSCAFG00000042688,ENSCAFG00000042688,miRNA
ENSCAFG00000019935,FAM102B,protein_coding
ENSCAFG00000011514,GTF2I,protein_coding
ENSCAFG00000044767,ENSCAFG00000044767,processed_pseudogene
ENSCAFG00000016865,PYCARD,protein_coding
ENSCAFG00000017303,CD19,protein_coding
ENSCAFG00000046997,ENSCAFG00000046997,protein_coding
ENSCAFG00000016862,FUS,protein_coding
ENSCAFG00000023098,PRMT6,protein_coding
ENSCAFG00000037856,ENSCAFG00000037856,lncRNA
ENSCAFG00000018127,TMC7,protein_coding
ENSCAFG00000038450,ENSCAFG00000038450,lncRNA
ENSCAFG00000046122,ENSCAFG00000046122,lncRNA
ENSCAFG00000017306,NFATC2IP,protein_coding
ENSCAFG00000044697,ENSCAFG00000044697,lncRNA
ENSCAFG00000048524,ENSCAFG00000048524,lncRNA
ENSCAFG00000044341,ENSCAFG00000044341,lncRNA
ENSCAFG00000049154,ENSCAFG00000049154,lncRNA
ENSCAFG00000035751,ENSCAFG00000035751,lncRNA
ENSCAFG00000042093,ENSCAFG00000042093,lncRNA
ENSCAFG00000019972,RNPC3,protein_coding
ENSCAFG00000048274,ENSCAFG00000048274,lncRNA
ENSCAFG00000049809,ENSCAFG00000049809,protein_coding
ENSCAFG00000024307,ENSCAFG00000024307,protein_coding
ENSCAFG00000017333,LAT,protein_coding
ENSCAFG00000029042,ENSCAFG00000029042,protein_coding
ENSCAFG00000011763,GTF2IRD1,protein_coding
ENSCAFG00000019655,METTL26,protein_coding
ENSCAFG00000019140,UBN1,protein_coding
ENSCAFG00000028108,ENSCAFG00000028108,miRNA
ENSCAFG00000045648,ENSCAFG00000045648,lncRNA
ENSCAFG00000011916,CLIP2,protein_coding
ENSCAFG00000019660,WFIKKN1,protein_coding
ENSCAFG00000041318,RAB40C,protein_coding
ENSCAFG00000019152,GLYR1,protein_coding
ENSCAFG00000043706,SMIM22,protein_coding
ENSCAFG00000019171,SEPTIN12,protein_coding
ENSCAFG00000023007,ZNF500,protein_coding
ENSCAFG00000019195,C6H16orf71,protein_coding
ENSCAFG00000017336,SBK1,protein_coding
ENSCAFG00000019662,PIGQ,protein_coding
ENSCAFG00000010185,VKORC1L1,protein_coding
ENSCAFG00000023303,ENSCAFG00000023303,protein_coding
ENSCAFG00000018135,COQ7,protein_coding
ENSCAFG00000016564,ENSCAFG00000016564,protein_coding
ENSCAFG00000032733,NHLRC4,protein_coding
ENSCAFG00000016853,PRSS36,protein_coding
ENSCAFG00000019190,ANKS3,protein_coding
ENSCAFG00000014493,ENSCAFG00000014493,protein_coding
ENSCAFG00000017356,XPO6,protein_coding
ENSCAFG00000011962,RFC2,protein_coding
ENSCAFG00000016092,RADIL,protein_coding
ENSCAFG00000010193,GUSB,protein_coding
ENSCAFG00000019985,COL11A1,protein_coding
ENSCAFG00000019663,PRR35,protein_coding
ENSCAFG00000046597,ENSCAFG00000046597,lncRNA
ENSCAFG00000019667,CAPN15,protein_coding
ENSCAFG00000018136,ENSCAFG00000018136,protein_coding
ENSCAFG00000043881,ENSCAFG00000043881,lncRNA
ENSCAFG00000019670,RAB11FIP3,protein_coding
ENSCAFG00000032744,GSG1L,protein_coding
ENSCAFG00000016103,AP5Z1,protein_coding
ENSCAFG00000014498,PVRIG,protein_coding
ENSCAFG00000044709,ENSCAFG00000044709,lncRNA
ENSCAFG00000046532,ENSCAFG00000046532,lncRNA
ENSCAFG00000019196,NUDT16L1,protein_coding
ENSCAFG00000036553,ENSCAFG00000036553,lncRNA
ENSCAFG00000012003,LAT2,protein_coding
ENSCAFG00000012019,EIF4H,protein_coding
ENSCAFG00000043259,ENSCAFG00000043259,protein_coding
ENSCAFG00000031655,PRSS8,protein_coding
ENSCAFG00000016838,KAT8,protein_coding
ENSCAFG00000042120,ENSCAFG00000042120,miRNA
ENSCAFG00000016827,BCKDK,protein_coding
ENSCAFG00000016799,VKORC1,protein_coding
ENSCAFG00000032204,PRSS53,protein_coding
ENSCAFG00000020244,CLCA4,protein_coding
ENSCAFG00000016793,ZNF646,protein_coding
ENSCAFG00000016111,FOXK1,protein_coding
ENSCAFG00000020246,CLCA1,protein_coding
ENSCAFG00000016612,ZNF668,protein_coding
ENSCAFG00000019992,OLFM3,protein_coding
ENSCAFG00000019675,DECR2,protein_coding
ENSCAFG00000042224,ENSCAFG00000042224,pseudogene
ENSCAFG00000048726,ENSCAFG00000048726,lncRNA
ENSCAFG00000014526,STAG3,protein_coding
ENSCAFG00000010756,CRCP,protein_coding
ENSCAFG00000020249,CLCA2,protein_coding
ENSCAFG00000012073,LIMK1,protein_coding
ENSCAFG00000018156,SMG1,protein_coding
ENSCAFG00000019201,MGRN1,protein_coding
ENSCAFG00000017396,KATNIP,protein_coding
ENSCAFG00000016787,STX4,protein_coding
ENSCAFG00000042908,ENSCAFG00000042908,lncRNA
ENSCAFG00000032180,ENSCAFG00000032180,protein_coding
ENSCAFG00000016780,STX1B,protein_coding
ENSCAFG00000016192,SDK1,protein_coding
ENSCAFG00000028341,ENSCAFG00000028341,snoRNA
ENSCAFG00000020256,ODF2L,protein_coding
ENSCAFG00000043322,U4,snRNA
ENSCAFG00000035471,ENSCAFG00000035471,lncRNA
ENSCAFG00000046473,ENSCAFG00000046473,lncRNA
ENSCAFG00000019993,S1PR1,protein_coding
ENSCAFG00000016770,HSD3B7,protein_coding
ENSCAFG00000010761,TPST1,protein_coding
ENSCAFG00000041194,ENSCAFG00000041194,protein_coding
ENSCAFG00000026023,U6,snRNA
ENSCAFG00000047834,U4,snRNA
ENSCAFG00000028947,ELN,protein_coding
ENSCAFG00000014535,GPC2,protein_coding
ENSCAFG00000016758,SETD1A,protein_coding
ENSCAFG00000019995,DPH5,protein_coding
ENSCAFG00000010773,RABGEF1,protein_coding
ENSCAFG00000012483,TMEM270,protein_coding
ENSCAFG00000019680,PGAP6,protein_coding
ENSCAFG00000019998,SLC30A7,protein_coding
ENSCAFG00000018174,RPS15A,protein_coding
ENSCAFG00000014551,GAL3ST4,protein_coding
ENSCAFG00000020265,ENSCAFG00000020265,protein_coding
ENSCAFG00000039414,ENSCAFG00000039414,lncRNA
ENSCAFG00000018177,XYLT1,protein_coding
ENSCAFG00000020002,EXTL2,protein_coding
ENSCAFG00000037220,ENSCAFG00000037220,lncRNA
ENSCAFG00000037228,ENSCAFG00000037228,lncRNA
ENSCAFG00000032398,ENSCAFG00000032398,pseudogene
ENSCAFG00000019202,UBALD1,protein_coding
ENSCAFG00000019682,MRPL28,protein_coding
ENSCAFG00000012503,METTL27,protein_coding
ENSCAFG00000030613,TRAPPC14,protein_coding
ENSCAFG00000016736,FBXL19,protein_coding
ENSCAFG00000032741,C16orf96,protein_coding
ENSCAFG00000020270,COL24A1,protein_coding
ENSCAFG00000012523,CLDN4,protein_coding
ENSCAFG00000045689,ENSCAFG00000045689,lncRNA
ENSCAFG00000019684,AXIN1,protein_coding
ENSCAFG00000020004,VCAM1,protein_coding
ENSCAFG00000012539,ABHD11,protein_coding
ENSCAFG00000017408,GTF3C1,protein_coding
ENSCAFG00000047923,ENSCAFG00000047923,lncRNA
ENSCAFG00000043381,ENSCAFG00000043381,lncRNA
ENSCAFG00000014561,LAMTOR4,protein_coding
ENSCAFG00000045771,ENSCAFG00000045771,lncRNA
ENSCAFG00000041519,ENSCAFG00000041519,lncRNA
ENSCAFG00000012623,STX1A,protein_coding
ENSCAFG00000046834,ENSCAFG00000046834,lncRNA
ENSCAFG00000012894,BUD23,protein_coding
ENSCAFG00000014562,ENSCAFG00000014562,protein_coding
ENSCAFG00000010783,TMEM248,protein_coding
ENSCAFG00000018181,ENSCAFG00000018181,protein_coding
ENSCAFG00000048195,ENSCAFG00000048195,protein_coding
ENSCAFG00000015429,PDIA2,protein_coding
ENSCAFG00000019198,ENSCAFG00000019198,protein_coding
ENSCAFG00000019204,CDIP1,protein_coding
ENSCAFG00000030399,GPR88,protein_coding
ENSCAFG00000010797,SBDS,protein_coding
ENSCAFG00000020007,CDC14A,protein_coding
ENSCAFG00000027665,ENSCAFG00000027665,scaRNA
ENSCAFG00000014564,ENSCAFG00000014564,protein_coding
ENSCAFG00000015363,ARHGDIG,protein_coding
ENSCAFG00000012949,DNAJC30,protein_coding
ENSCAFG00000010867,ENSCAFG00000010867,protein_coding
ENSCAFG00000023874,RGS11,protein_coding
ENSCAFG00000019207,HMOX2,protein_coding
ENSCAFG00000014568,MBLAC1,protein_coding
ENSCAFG00000012952,VPS37D,protein_coding
ENSCAFG00000016715,BCL7C,protein_coding
ENSCAFG00000020273,ZNHIT6,protein_coding
ENSCAFG00000012970,MLXIPL,protein_coding
ENSCAFG00000021524,U6,snRNA
ENSCAFG00000021195,U6,snRNA
ENSCAFG00000011106,CALN1,protein_coding
ENSCAFG00000019210,NMRAL1,protein_coding
ENSCAFG00000045072,ENSCAFG00000045072,protein_coding
ENSCAFG00000014576,CNPY4,protein_coding
ENSCAFG00000016723,CTF1,protein_coding
ENSCAFG00000019687,FAM234A,protein_coding
ENSCAFG00000044325,U4,snRNA
ENSCAFG00000013010,TBL2,protein_coding
ENSCAFG00000014601,TAF6,protein_coding
ENSCAFG00000019212,DNAJA3,protein_coding
ENSCAFG00000029137,ZNF629,protein_coding
ENSCAFG00000023730,BCL7B,protein_coding
ENSCAFG00000020276,CCN1,protein_coding
ENSCAFG00000018197,ABCC6,protein_coding
ENSCAFG00000042608,ENSCAFG00000042608,protein_coding
ENSCAFG00000016693,RNF40,protein_coding
ENSCAFG00000032615,ENSCAFG00000032615,protein_coding
ENSCAFG00000048935,ENSCAFG00000048935,protein_coding
ENSCAFG00000036684,ENSCAFG00000036684,lncRNA
ENSCAFG00000014674,AP4M1,protein_coding
ENSCAFG00000020009,ENSCAFG00000020009,protein_coding
ENSCAFG00000020010,RTCA,protein_coding
ENSCAFG00000029993,DDAH1,protein_coding
ENSCAFG00000013146,BAZ1B,protein_coding
ENSCAFG00000018208,ABCC1,protein_coding
ENSCAFG00000045861,ENSCAFG00000045861,protein_coding
ENSCAFG00000016671,CCDC189,protein_coding
ENSCAFG00000020011,DBT,protein_coding
ENSCAFG00000014748,MCM7,protein_coding
ENSCAFG00000020285,BCL10,protein_coding
ENSCAFG00000020018,LRRC39,protein_coding
ENSCAFG00000016653,PHKG2,protein_coding
ENSCAFG00000029565,C6H1orf52,protein_coding
ENSCAFG00000044619,TMEM265,protein_coding
ENSCAFG00000020021,TRMT13,protein_coding
ENSCAFG00000020287,SYDE2,protein_coding
ENSCAFG00000045795,ENSCAFG00000045795,lncRNA
ENSCAFG00000029337,CEP20,protein_coding
ENSCAFG00000020292,DNAI3,protein_coding
ENSCAFG00000016640,ENSCAFG00000016640,protein_coding
ENSCAFG00000020022,SASS6,protein_coding
ENSCAFG00000020026,MFSD14A,protein_coding
ENSCAFG00000025719,ENSCAFG00000025719,miRNA
ENSCAFG00000025680,ENSCAFG00000025680,miRNA
ENSCAFG00000020648,ENSCAFG00000020648,miRNA
ENSCAFG00000014814,COPS6,protein_coding
ENSCAFG00000025843,SNORA30,snoRNA
ENSCAFG00000016634,FBRS,protein_coding
ENSCAFG00000020029,SLC35A3,protein_coding
ENSCAFG00000022060,U6,snRNA
ENSCAFG00000042787,MCOLN3,protein_coding
ENSCAFG00000025768,U6,snRNA
ENSCAFG00000013159,FZD9,protein_coding
ENSCAFG00000016630,PRR14,protein_coding
ENSCAFG00000013176,FKBP6,protein_coding
ENSCAFG00000019220,ENSCAFG00000019220,protein_coding
ENSCAFG00000018472,ZNF3,protein_coding
ENSCAFG00000018560,MYH11,protein_coding
ENSCAFG00000028916,ZSCAN21,protein_coding
ENSCAFG00000020297,MCOLN2,protein_coding
ENSCAFG00000016625,ZNF689,protein_coding
ENSCAFG00000013047,TRIM50,protein_coding
ENSCAFG00000031298,ZKSCAN1,protein_coding
ENSCAFG00000020300,LPAR3,protein_coding
ENSCAFG00000013197,NSUN5,protein_coding
ENSCAFG00000027360,U6,snRNA
ENSCAFG00000022064,U6,snRNA
ENSCAFG00000011780,ENSCAFG00000011780,protein_coding
ENSCAFG00000014889,AZGP1,protein_coding
ENSCAFG00000020304,SSX2IP,protein_coding
ENSCAFG00000014893,GJC3,protein_coding
ENSCAFG00000014909,TRIM4,protein_coding
ENSCAFG00000032497,ZNF785,protein_coding
ENSCAFG00000029911,ZNF768,protein_coding
ENSCAFG00000016603,ITGAL,protein_coding
ENSCAFG00000020309,SPATA1,protein_coding
ENSCAFG00000033662,ENSCAFG00000033662,lncRNA
ENSCAFG00000027705,U6,snRNA
ENSCAFG00000020306,CTBS,protein_coding
ENSCAFG00000020040,AGL,protein_coding
ENSCAFG00000044084,ENSCAFG00000044084,lncRNA
ENSCAFG00000016594,DCTPP1,protein_coding
ENSCAFG00000043577,ENSCAFG00000043577,protein_coding
ENSCAFG00000016591,ZNF771,protein_coding
ENSCAFG00000020311,RPF1,protein_coding
ENSCAFG00000044130,ENSCAFG00000044130,lncRNA
ENSCAFG00000029852,ZNF48,protein_coding
ENSCAFG00000014922,OR2AE1,protein_coding
ENSCAFG00000014990,ENSCAFG00000014990,protein_coding
ENSCAFG00000020315,UOX,protein_coding
ENSCAFG00000016576,SEPTIN1,protein_coding
ENSCAFG00000014877,CYP3A26,protein_coding
ENSCAFG00000013253,ENSCAFG00000013253,protein_coding
ENSCAFG00000016543,MYLPF,protein_coding
ENSCAFG00000020313,DNASE2B,protein_coding
ENSCAFG00000045311,U3,snoRNA
ENSCAFG00000016940,TBC1D10B,protein_coding
ENSCAFG00000018722,NDE1,protein_coding
ENSCAFG00000020052,FRRS1,protein_coding
ENSCAFG00000032590,IL21R,protein_coding
ENSCAFG00000045033,ENSCAFG00000045033,protein_coding
ENSCAFG00000020317,ENSCAFG00000020317,protein_coding
ENSCAFG00000017447,IL4R,protein_coding
ENSCAFG00000019224,VASN,protein_coding
ENSCAFG00000031476,ENSCAFG00000031476,protein_coding
ENSCAFG00000034188,ENSCAFG00000034188,lncRNA
ENSCAFG00000019227,GLIS2,protein_coding
ENSCAFG00000041803,ENSCAFG00000041803,protein_coding
ENSCAFG00000017462,NSMCE1,protein_coding
ENSCAFG00000016943,CD2BP2,protein_coding
ENSCAFG00000018744,BMERB1,protein_coding
ENSCAFG00000020319,PRKACB,protein_coding
ENSCAFG00000017466,KDM8,protein_coding
ENSCAFG00000019231,TFAP4,protein_coding
ENSCAFG00000039956,ENSCAFG00000039956,lncRNA
ENSCAFG00000030238,C6H16orf82,protein_coding
ENSCAFG00000032587,ENSCAFG00000032587,protein_coding
ENSCAFG00000019233,SRL,protein_coding
ENSCAFG00000030720,QPRT,protein_coding
ENSCAFG00000020758,U4,snRNA
ENSCAFG00000038130,ENSCAFG00000038130,lncRNA
ENSCAFG00000042830,ENSCAFG00000042830,lncRNA
ENSCAFG00000048479,ENSCAFG00000048479,protein_coding
ENSCAFG00000018760,PDXDC1,protein_coding
ENSCAFG00000045348,ENSCAFG00000045348,lncRNA
ENSCAFG00000038392,ENSCAFG00000038392,lncRNA
ENSCAFG00000046641,ENSCAFG00000046641,protein_coding
ENSCAFG00000019237,ADCY9,protein_coding
ENSCAFG00000016952,C6H16orf54,protein_coding
ENSCAFG00000047120,ENSCAFG00000047120,lncRNA
ENSCAFG00000041342,ENSCAFG00000041342,lncRNA
ENSCAFG00000048312,ENSCAFG00000048312,lncRNA
ENSCAFG00000021122,U2,snRNA
ENSCAFG00000017477,ZKSCAN2,protein_coding
ENSCAFG00000016953,ZG16,protein_coding
ENSCAFG00000016958,KIF22,protein_coding
ENSCAFG00000025899,U1,snRNA
ENSCAFG00000043185,ENSCAFG00000043185,protein_coding
ENSCAFG00000017480,AQP8,protein_coding
ENSCAFG00000016964,MAZ,protein_coding
ENSCAFG00000019251,CREBBP,protein_coding
ENSCAFG00000044396,ENSCAFG00000044396,lncRNA
ENSCAFG00000049600,ENSCAFG00000049600,protein_coding
ENSCAFG00000017485,LCMT1,protein_coding
ENSCAFG00000013367,HIP1,protein_coding
ENSCAFG00000014950,ENSCAFG00000014950,protein_coding
ENSCAFG00000014953,OR1F15,protein_coding
ENSCAFG00000028943,U6,snRNA
ENSCAFG00000014967,ZSCAN25,protein_coding
ENSCAFG00000048416,U4,snRNA
ENSCAFG00000019262,TRAP1,protein_coding
ENSCAFG00000019267,DNASE1,protein_coding
ENSCAFG00000032573,CCL26,protein_coding
ENSCAFG00000013396,CCL24,protein_coding
ENSCAFG00000041331,ENSCAFG00000041331,lncRNA
ENSCAFG00000019268,SLX4,protein_coding
ENSCAFG00000019274,CLUAP1,protein_coding
ENSCAFG00000019276,C6H16orf90,protein_coding
ENSCAFG00000019277,NAA60,protein_coding
ENSCAFG00000026265,ENSCAFG00000026265,snoRNA
ENSCAFG00000018776,NTAN1,protein_coding
ENSCAFG00000018783,RRN3,protein_coding
ENSCAFG00000032690,ZNF597,protein_coding
ENSCAFG00000028614,ZNF174,protein_coding
